SVL,Tail,Name_in_Tree,Location,Group,Habitat,Status
357.2,405.4,Varanus.flavescens,Asia Sundaland,Varanoidea,terrestrial,Extant
788.6,937,Varanus.giganteus,Australia,Varanoidea,terrestrial,Extant
165.4,209.2,Varanus.gilleni,Australia,Varanoidea,arboreal,Extant
235.6,521.6,Varanus.glauerti,Australia,Varanoidea,saxicolous,Extant
361.8,617.6,Varanus.glebopalma,Australia,Varanoidea,saxicolous,Extant
514.2,733.6,Varanus.gouldii,Australia,Varanoidea,terrestrial,Extant
444.4,507.8,Varanus.griseus,Africa Arabia,Varanoidea,terrestrial,Extant
136.6,264.8,Varanus.hamersleyensis,Australia,Varanoidea,saxicolous,Extant
430.8,631.2,Varanus.indicus,Australia,Varanoidea,terrestrial,Extant
392.2,487.8,Varanus.jobiensis,Sundaland Papua,Varanoidea,arboreal,Extant
103,227.8,Varanus.kingorum,Australia,Varanoidea,saxicolous,Extant
1166.2,1059.2,Varanus.komodoensis,Australia,Varanoidea,terrestrial,Extant
454,700,Varanus.marmoratus,Sundaland,Varanoidea,semiaquatic,Extant
508.2,665,Varanus.mertensi,Australia,Varanoidea,semiaquatic,Extant
283,448.2,Varanus.mitchelli,Australia,Varanoidea,semiaquatic,Extant
505.4,758.6,Varanus.niloticus,Africa,Varanoidea,terrestrial,Extant
442,700,Varanus.nuchalis,Sundaland,Varanoidea,semiaquatic,Extant
600,940,Varanus.olivaceus,Philippines,Varanoidea,arboreal,Extant
576,781,Varanus.palawanensis,Philippines,Varanoidea,semiaquatic,Extant
588.6,779.6,Varanus.panoptes,Australia,Varanoidea,terrestrial,Extant
162,298,Varanus.pilbarensis,Australia,Varanoidea,saxicolous,Extant
311.8,549.2,Varanus.prasinus,Australia,Varanoidea,arboreal,Extant
119.6,165.4,Varanus.primordius,Australia,Varanoidea,saxicolous,Extant
2116,2329,Varanus.priscus,Australia,Varanoidea,terrestrial,Extinct
425.2,607.2,Varanus.rosenbergi,Australia,Varanoidea,terrestrial,Extant
411.2,530,Varanus.rudicollis,Sundaland,Varanoidea,arboreal,Extant
567.8,1191,Varanus.salvadorii,Papua,Varanoidea,arboreal,Extant
520.6,766,Varanus.salvator,Sundaland,Varanoidea,semiaquatic,Extant
576,781,Varanus.samarensis,Sundaland,Varanoidea,semiaquatic,Extant
238.6,326.6,Varanus.scalaris.OZ,Australia,Varanoidea,arboreal,Extant
238.6,326.6,Varanus.scalaris.PNG,Papua,Varanoidea,arboreal,Extant
291.6,395.2,Varanus.semiremex,Australia,Varanoidea,semiaquatic,Extant
102,98,Varanus.sparnus,Australia,Varanoidea,terrestrial,Extant
511.6,563.8,Varanus.spenceri,Australia,Varanoidea,terrestrial,Extant
312,550,Varanus.spinulosus,Papua Solomon Islands,Varanoidea,arboreal,Extant
505.4,758.6,Varanus.stellatus,Africa,Varanoidea,terrestrial,Extant
144.2,217.4,Varanus.storri,Australia,Varanoidea,saxicolous,Extant
233.6,328.4,Varanus.timorensis,Sundaland,Varanoidea,arboreal,Extant
520.6,766,Varanus.togianus,Sundaland,Varanoidea,semiaquatic,Extant
280.8,439.4,Varanus.tristis.orientalis,Australia,Varanoidea,arboreal,Extant
280.8,439.4,Varanus.tristis.tristis,Australia,Varanoidea,arboreal,Extant
636.4,825,Varanus.varius,Australia,Varanoidea,terrestrial,Extant
410.7,458,Varanus.yemenensis,Africa,Varanoidea,terrestrial,Extant
