Name_in_Tree,Latitude,Longitude
Antechinomys.laniger,-26.1239,138.6631
Antechinomys.laniger,-28.37,138.67
Antechinomys.laniger,-27.9,138.675
Antechinomys.laniger,-27.4033,138.7008
Antechinomys.laniger,-27.7172,138.7869
Antechinomys.laniger,-27.0175,138.8947
Antechinomys.laniger,-27.0167,138.9
Antechinomys.laniger,-24.05,139.016
Antechinomys.laniger,-27.7219,139.025
Antechinomys.laniger,-26.58,139.05
Antechinomys.laniger,-24.066,139.05
Antechinomys.laniger,-24.083,139.066
Antechinomys.laniger,-24.05,139.066667
Antechinomys.laniger,-24.05,139.0667
Antechinomys.laniger,-24.05,139.07
Antechinomys.laniger,-27.67,139.08
Antechinomys.laniger,-29.5833,139.2833
Antechinomys.laniger,-25.716667,139.316667
Antechinomys.laniger,-24.8,139.3667
Antechinomys.laniger,-31.53,139.47
Antechinomys.laniger,-31.4119,139.5233
Antechinomys.laniger,-31.3667,139.525
Antechinomys.laniger,-26.9617,139.5442
Antechinomys.laniger,-26.75,139.5667
Antechinomys.laniger,-26.9611,139.5844
Antechinomys.laniger,-26.8158,139.6033
Antechinomys.laniger,-26.75,139.6667
Antechinomys.laniger,-26.7833,139.855
Antechinomys.laniger,-26.7842,139.8739
Antechinomys.laniger,-25.933333,139.933333
Antechinomys.laniger,-25.65,139.983
Antechinomys.laniger,-26.8056,140.0042
Antechinomys.laniger,-21.083333,140.3
Antechinomys.laniger,-23.7333,140.3
Antechinomys.laniger,-26.1978,140.3881
Antechinomys.laniger,-26.3717,140.3944
Antechinomys.laniger,-26.7728,140.5114
Antechinomys.laniger,-25.7,140.616667
Antechinomys.laniger,-26.7,140.6167
Antechinomys.laniger,-25.6833,140.6167
Antechinomys.laniger,-25.7,140.75
Antechinomys.laniger,-25.8833,141
Antechinomys.laniger,-23.9,141.133
Antechinomys.laniger,-23.766667,141.133333
Antechinomys.laniger,-23.966,141.45
Antechinomys.laniger,-25.65,141.5
Antechinomys.laniger,-23.633333,141.65
Antechinomys.laniger,-34.12,141.92
Antechinomys.laniger,-31.55,143.366
Antechinomys.laniger,-29.25,144.25
Antechinomys.laniger,-35.53,144.95
Antechinomys.laniger,-26.633333,145.016667
Antechinomys.laniger,-25.05,145.05
Antechinomys.laniger,-26.083333,145.066667
Antechinomys.laniger,-35.366,145.4
Antechinomys.laniger,-31.266,145.4
Antechinomys.laniger,-30.566,145.6
Antechinomys.laniger,-25.6,145.666667
Antechinomys.laniger,-31.4,145.766
Antechinomys.laniger,-31.5,145.833
Antechinomys.laniger,-31.5,145.833333
Antechinomys.laniger,-30.083,145.933
Antechinomys.laniger,-26.4,146.25
Antechinomys.laniger,-30.666,146.4
Antechinomys.laniger,-31.083,146.416
Antechinomys.laniger,-35.683,146.733
Antechinomys.laniger,-30.33664,146.84514
Antechinomys.laniger,-31.566,146.966
Antechinomys.laniger,-31.05,147.083
Antechinomys.laniger,-33.083,147.15
Antechinomys.laniger,-31.716,147.3
Antechinomys.laniger,-32.233,147.35
Antechinomys.laniger,-26,149
Antechinomys.laniger,-34.083,149.016
Antechinomys.laniger,-25,149.05
Antechinomys.laniger,-27.0667,149.7
Antechinus.agilis,-39.1,146.37
Antechinus.agilis,-39.08,146.33
Antechinus.agilis,-39.02,146.33
Antechinus.agilis,-39,146.28
Antechinus.agilis,-39,146.37
Antechinus.agilis,-38.93,146.37
Antechinus.agilis,-38.92,146.25
Antechinus.agilis,-38.9,145.92
Antechinus.agilis,-38.87,146
Antechinus.agilis,-38.85,143.55
Antechinus.agilis,-38.83,145.98
Antechinus.agilis,-38.8,146.47
Antechinus.agilis,-38.78,143.43
Antechinus.agilis,-38.78,143.5
Antechinus.agilis,-38.78,146.02
Antechinus.agilis,-38.77,143.5
Antechinus.agilis,-38.77,143.52
Antechinus.agilis,-38.77,143.58
Antechinus.agilis,-38.75,143.47
Antechinus.agilis,-38.75,143.48
Antechinus.agilis,-38.75,143.5
Antechinus.agilis,-38.75,143.57
Antechinus.agilis,-38.741,143.289
Antechinus.agilis,-38.733333,143.55
Antechinus.agilis,-38.73,143.48
Antechinus.agilis,-38.73,143.5
Antechinus.agilis,-38.7,143.57
Antechinus.agilis,-38.68,143.5
Antechinus.agilis,-38.68,143.55
Antechinus.agilis,-38.67,143.5
Antechinus.agilis,-38.67,143.62
Antechinus.agilis,-38.67,146.58
Antechinus.agilis,-38.64,143.66
Antechinus.agilis,-38.63,143.32
Antechinus.agilis,-38.63,143.57
Antechinus.agilis,-38.63,143.88
Antechinus.agilis,-38.62,142.98
Antechinus.agilis,-38.62,143.72
Antechinus.agilis,-38.62,146.6
Antechinus.agilis,-38.6,143.72
Antechinus.agilis,-38.6,143.92
Antechinus.agilis,-38.58,142.9
Antechinus.agilis,-38.58,143.5
Antechinus.agilis,-38.58,143.67
Antechinus.agilis,-38.58,143.83
Antechinus.agilis,-38.58,146.5
Antechinus.agilis,-38.58,146.58
Antechinus.agilis,-38.58,146.6
Antechinus.agilis,-38.57,143.78
Antechinus.agilis,-38.57,143.9
Antechinus.agilis,-38.57,146.2
Antechinus.agilis,-38.57,146.35
Antechinus.agilis,-38.57,146.68
Antechinus.agilis,-38.55,143.57
Antechinus.agilis,-38.55,143.58
Antechinus.agilis,-38.55,143.63
Antechinus.agilis,-38.55,143.85
Antechinus.agilis,-38.55,143.97
Antechinus.agilis,-38.55,146.2
Antechinus.agilis,-38.533333,143.716667
Antechinus.agilis,-38.53,143.53
Antechinus.agilis,-38.53,143.97
Antechinus.agilis,-38.52,143.72
Antechinus.agilis,-38.52,143.93
