Name_in_Tree,Latitude,Longitude
Varanus.acanthurus,-11.836,136.664
Varanus.acanthurus,-11.78516476,136.56979
Varanus.acanthurus,-11.43026,136.49934
Varanus.acanthurus,-11.80736,136.48214
Varanus.acanthurus,-13.983,136.466
Varanus.acanthurus,-19.95,136.466
Varanus.acanthurus,-11.90056,136.45895
Varanus.acanthurus,-11.52456,136.42234
Varanus.acanthurus,-11.52356,136.41844
Varanus.acanthurus,-11.52,136.417
Varanus.acanthurus,-19.94833,136.41138
Varanus.acanthurus,-16,136.283
Varanus.acanthurus,-19.85277,136.22082
Varanus.acanthurus,-11.63306,136.20234
Varanus.acanthurus,-11.64876,136.18544
Varanus.acanthurus,-11.652,136.185
Varanus.acanthurus,-11.64506,136.17214
Varanus.acanthurus,-11.647,136.172
Varanus.acanthurus,-16.5833,136.1667
Varanus.acanthurus,-12.04086,136.14435
Varanus.acanthurus,-11.70336,136.14034
Varanus.acanthurus,-16.417,136.1
Varanus.acanthurus,-19.85,136.083
Varanus.acanthurus,-19.84854791,136.0012117
Varanus.acanthurus,-19.85,136
Varanus.acanthurus,-19.75,135.983
Varanus.acanthurus,-19.8152183,135.9512119
Varanus.acanthurus,-19.81522348,135.9512081
Varanus.acanthurus,-16.69855474,135.9178608
Varanus.acanthurus,-19.73,135.9
Varanus.acanthurus,-19.733,135.9
Varanus.acanthurus,-16.597,135.893
Varanus.acanthurus,-16.6,135.885
Varanus.acanthurus,-16.5985552,135.8845206
Varanus.acanthurus,-16.58188525,135.8845205
Varanus.acanthurus,-16.618,135.868
Varanus.acanthurus,-16.61522525,135.8678608
Varanus.acanthurus,-19.583,135.867
Varanus.acanthurus,-16.67,135.85
Varanus.acanthurus,-22.54854745,135.8179058
Varanus.acanthurus,-22.54855269,135.8178983
Varanus.acanthurus,-22.55118,135.81188
Varanus.acanthurus,-16.623,135.792
Varanus.acanthurus,-16.61522573,135.7845217
Varanus.acanthurus,-16.135,135.718
Varanus.acanthurus,-16.13188745,135.7178594
Varanus.acanthurus,-16.683,135.717
Varanus.acanthurus,-18.11522282,135.6845324
Varanus.acanthurus,-16.69855618,135.6678634
Varanus.acanthurus,-16.02185,135.65447
Varanus.acanthurus,-17.83188361,135.6512009
Varanus.acanthurus,-17.83188874,135.6511961
Varanus.acanthurus,-22.46521886,135.634567
Varanus.acanthurus,-19.56522087,135.6178835
Varanus.acanthurus,-20.7,135.6
Varanus.acanthurus,-22.649585,135.517152
Varanus.acanthurus,-19.317,135.517
Varanus.acanthurus,-22.34855686,135.4845677
Varanus.acanthurus,-22.34855001,135.4845675
Varanus.acanthurus,-19.917,135.417
Varanus.acanthurus,-19.417,135.4
Varanus.acanthurus,-19.433,135.4
Varanus.acanthurus,-19.433333,135.4
Varanus.acanthurus,-15.84855,135.35807
Varanus.acanthurus,-20.015428,135.355359
Varanus.acanthurus,-24.09855179,135.3512552
Varanus.acanthurus,-15.62,135.35
Varanus.acanthurus,-19.89499,135.33944
Varanus.acanthurus,-16.71522806,135.3345268
Varanus.acanthurus,-15.77795,135.33447
Varanus.acanthurus,-19.88333,135.33333
Varanus.acanthurus,-15.774,135.333
Varanus.acanthurus,-16.71855807,135.3311969
Varanus.acanthurus,-15.91523029,135.3178621
Varanus.acanthurus,-15.9152333,135.31785
