SVL,Tail,Name_in_Tree,Location,Group,Habitat
1166.2,1059.2,Varanus.komodoensis,Australia,Varanoidea,terrestrial
454,700,Varanus.marmoratus,Sundaland,Varanoidea,semiaquatic
508.2,665,Varanus.mertensi,Australia,Varanoidea,semiaquatic
283,448.2,Varanus.mitchelli,Australia,Varanoidea,semiaquatic
505.4,758.6,Varanus.niloticus,Africa,Varanoidea,terrestrial
442,700,Varanus.nuchalis,Sundaland,Varanoidea,semiaquatic
600,940,Varanus.olivaceus,Philippines,Varanoidea,arboreal
576,781,Varanus.palawanensis,Philippines,Varanoidea,semiaquatic
588.6,779.6,Varanus.panoptes,Australia,Varanoidea,terrestrial
162,298,Varanus.pilbarensis,Australia,Varanoidea,saxicolous
311.8,549.2,Varanus.prasinus,Australia,Varanoidea,arboreal
119.6,165.4,Varanus.primordius,Australia,Varanoidea,saxicolous
2116,2329,Varanus.priscus,Australia,Varanoidea,terrestrial
425.2,607.2,Varanus.rosenbergi,Australia,Varanoidea,terrestrial
411.2,530,Varanus.rudicollis,Sundaland,Varanoidea,arboreal
567.8,1191,Varanus.salvadorii,Papua,Varanoidea,arboreal
520.6,766,Varanus.salvator,Sundaland,Varanoidea,semiaquatic
576,781,Varanus.samarensis,Sundaland,Varanoidea,semiaquatic
238.6,326.6,Varanus.scalaris.OZ,Australia,Varanoidea,arboreal
238.6,326.6,Varanus.scalaris.PNG,Papua,Varanoidea,arboreal
291.6,395.2,Varanus.semiremex,Australia,Varanoidea,semiaquatic
102,98,Varanus.sparnus,Australia,Varanoidea,terrestrial
511.6,563.8,Varanus.spenceri,Australia,Varanoidea,terrestrial
312,550,Varanus.spinulosus,Papua Solomon Islands,Varanoidea,arboreal
505.4,758.6,Varanus.stellatus,Africa,Varanoidea,terrestrial
144.2,217.4,Varanus.storri,Australia,Varanoidea,saxicolous
233.6,328.4,Varanus.timorensis,Sundaland,Varanoidea,arboreal
520.6,766,Varanus.togianus,Sundaland,Varanoidea,semiaquatic
280.8,439.4,Varanus.tristis.a,Australia,Varanoidea,arboreal
280.8,439.4,Varanus.tristis.b,Australia,Varanoidea,arboreal
636.4,825,Varanus.varius,Australia,Varanoidea,terrestrial
410.7,458,Varanus.yemenensis,Africa,Varanoidea,terrestrial
